kode_depkes,kode_sp2tp,lingkup,nama_puskesmas,kondisi_bangunan_puskesmas,jenis_puskesmas,wilayah,nama_kecamatan,alamat_puskesmas,no_telp,no_fax,email,ket
P3172060212,31720312,Puskesmas Kelurahan,KEL. CIPINANG BESAR SEL. II,Rusak Berat,Non Perawatan,Jakarta Timur,JATINEGARA,Jl. Pancawarga IV/4,021-85909549,021-85909549,,
P3172070201,31720701,Puskesmas Kecamatan,KEC. DUREN SAWIT,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. H. Dogol (samping SMUN 71),021-86601065,,,
P3172070202,31720702,Puskesmas Kelurahan,KEL. PONDOK BAMBU I,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Kesehatan 5 Rt 002/05,021-70990050,,,
P3172070203,31720712,Puskesmas Kelurahan,KEL. PONDOK BAMBU II,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Cipinang Muara II,021-8615989,,,
P3172070204,31720703,Puskesmas Kelurahan,KEL. KLENDER  I,Rusak Berat,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Pertanian Timur Rt 003/02,021-86605147,,,
P3172070205,31720704,Puskesmas Kelurahan,KEL. KLENDER  II,Baik,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Bulak Timur I No. 8 Rt 004/16,021-86603350,,,
P3172070206,31720705,Puskesmas Kelurahan,KEL. KLENDER  III,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Taman Buaran Indah 2,021-9199605,,,
P3172070207,31720706,Puskesmas Kelurahan,KEL. DUREN SAWIT,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Kelurahan Raya Rt 005/02,021-86602052,,,
P3172070208,31720707,Puskesmas Kelurahan,KEL. MALAKA JAYA,Rusak Total,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Raya Teratai Putih No. 1,021-86608372,021-86608372,,
P3172070209,31720708,Puskesmas Kelurahan,KEL. MALAKA SARI,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Raya Malaka III Rt 001/06,021-68299711,,,
P3172070210,31720709,Puskesmas Kelurahan,KEL. PONDOK KOPI  I,Rusak Total,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Bina Karya Rawa Wadas Rt 003/06,021-86904054,,,
P3172070211,31720710,Puskesmas Kelurahan,KEL. PONDOK KOPI  II,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Robusta Raya Blok Q VIII,,,,
P3172070212,31720711,Puskesmas Kelurahan,KEL. PONDOK KELAPA,Rusak Ringan,Non Perawatan,Jakarta Timur,DUREN SAWIT,Jl. Raya Pondok Kelapa Rt 0010/04,021-86903157,,,
P3172080201,31720601,Puskesmas Kecamatan,KEC. CAKUNG,Rusak Berat,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Raya Bekasi Km 18,021-4608446,021-4608446,,
P3172080202,31720602,Puskesmas Kelurahan,KEL. RAWA TERATAI,Rusak Berat,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Raya Bekasi Km 14,021-46829720,021-46829720,,
P3172080203,31720603,Puskesmas Kelurahan,KEL. JATINEGARA,Rusak Ringan,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Raya Bekasi Km 17 Rt 005/03,021-4612345,021-4612345,,
P3172080204,31720604,Puskesmas Kelurahan,KEL. PENGGILINGAN I / ELOK,Rusak Ringan,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Komp PIK,021-4807827,,,
P3172080205,31720605,Puskesmas Kelurahan,KEL. PENGGILINGAN II,Rusak Berat,Non Perawatan,Jakarta Timur,CAKUNG,Komp. Aneka Elok Jl. Mentibu Rt 12,021-46829710,021-46829710,,
P3172080206,31720607,Puskesmas Kelurahan,KEL. CAKUNG TIMUR,Rusak Berat,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Balai Rakyat Rt 0013/01,021-46829810,,,
P3172080207,31720606,Puskesmas Kelurahan,KEL. CAKUNG BARAT,Baik,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Raya Tipar Rt 001/07,021-46829709,021-46829709,,
P3172080208,31720608,Puskesmas Kelurahan,KEL. UJUNG MENTENG,Baik,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Raya Bekasi,021-46828217,021-46828217,,
P3172080209,31720609,Puskesmas Kelurahan,KEL. PULO GEBANG,Rusak Berat,Non Perawatan,Jakarta Timur,CAKUNG,Jl. Stasiun Km 4 Rt 006/03,021-4807828,021-4807828,,
P3172090201,31720501,Puskesmas Kecamatan,KEC. PULO GADUNG,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. Kayu Putih Selatan III13210,021-4890519,021-4890519,sp2tp@yahoo.com,
P3172090202,31720502,Puskesmas Kelurahan,KEL. KAYU PUTIH,Baik,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. Plapon I Rt 002/01,021-4710423,,,
P3172090203,31720503,Puskesmas Kelurahan,KEL. JATI  I,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. Pulo Asem Rt 001/02,021-47868535,,,
P3172090204,31720504,Puskesmas Kelurahan,KEL. JATI  II,Baik,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. Kaplongan I/267,021-47868404,,,
P3172090205,31720505,Puskesmas Kelurahan,KEL. RAWAMANGUN,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. Taman Jeruk,021-47864411,,,
P3172090206,31720508,Puskesmas Kelurahan,KEL. PISANGAN TIMUR I,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. H Nugni III Rt 0012/04,021-4755612,,,
P3172090207,31720506,Puskesmas Kelurahan,KEL. PISANGAN TIMUR II,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Kel. Pisangan Timur,,,,
P3172090208,31720507,Puskesmas Kelurahan,KEL. CIPINANG,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. El Cipinang/Masjid Baitussalam No.19,021-4756139,021-4756139,,
P3172090209,31720509,Puskesmas Kelurahan,KEL. JATINEGARA KAUM,Rusak Ringan,Non Perawatan,Jakarta Timur,PULO GADUNG,Jl. TB Badarudin Rt 15/07,021-4755580,,,
P3172100201,31720401,Puskesmas Kecamatan,KEC. MATRAMAN,Rusak Berat,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Kebon Kelapa Raya 29 B,021-8581957,021-8581957,,
P3172100202,31720402,Puskesmas Kelurahan,KEL. KAYU MANIS,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Kayu Manis II,021-8513170,,,
P3172100203,31720403,Puskesmas Kelurahan,KEL. UTAN KAYU UTARA,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Pegayoman Komp. Kehakiman,021-85900050,,,
P3172100204,31720406,Puskesmas Kelurahan,KEL. PISANGAN BARU,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Kebun Sereh BRI Rt 003/09,021-8507756,,,
P3172100205,31720404,Puskesmas Kelurahan,KEL. UTAN KAYU SEL. I,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Skip Ujung Rt 004/07,021-8511129,,,
P3172100206,31720405,Puskesmas Kelurahan,KEL  UTAN KAYU SEL. II,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Jl. Palmeriem,021-85909517,,,
P3172100207,31720407,Puskesmas Kelurahan,KEL. PALMERIAM,Baik,Non Perawatan,Jakarta Timur,MATRAMAN,Kel. Utan Kayu Selatan,021-8512337,,,
P3173010201,31730101,Puskesmas Kecamatan,KEC. TANAH ABANG,Rusak Ringan,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. KH. Mas Mansyur No. 30 RT 05/07,021-3150427,021-31903174,,
P3173010202,31730105,Puskesmas Kelurahan,KEL. KAMPUNG BALI,Baik,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. Kamp Bali Gg. 23 RT. 07/07,021-3015071,021-3915071,,
P3173010203,31730104,Puskesmas Kelurahan,KEL. PETAMBURAN,Baik,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. Petamburan IV RT. 012/04,021-53650696,,,
P3173010204,31730103,Puskesmas Kelurahan,KEL. KARET TENGSIN,Baik,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. Karet Pasar Baru Barat VII/19 RT. 09/02,021-5743287,,,
P3173010205,31730102,Puskesmas Kelurahan,KEL. BENDUNGAN HILIR,Baik,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. Danau Toba Blok A No. 1 RT. 020/04,021-5732767,,,
P3173010206,31730106,Puskesmas Kelurahan,KEL. GELORA,Baik,Non Perawatan,Jakarta Pusat,TANAH ABANG,Jl. Lapangan Tembak Senayan,021-5743355,,,
P3173020201,31730201,Puskesmas Kecamatan,KEC. MENTENG,Baik,Non Perawatan,Jakarta Pusat,MENTENG,Jl. Pegangsaan Barat No. 14 RT. 16/05,021-31935836,021-31904965,pkm_kecmenteng@yahoo.co.id,
P3173020202,31730203,Puskesmas Kelurahan,KEL. GONDANGDIA,Rusak Ringan,Non Perawatan,Jakarta Pusat,MENTENG,Jl. Sumatra No. 50 RT. 02/04,021-31934421,021-31934421,,
P3173020203,31730202,Puskesmas Kelurahan,KEL. PEGANGSAAN,Rusak Ringan,Non Perawatan,Jakarta Pusat,MENTENG,Jl. Tambak No. 28,021-31934355,021-3425445,,
P3173030201,31730301,Puskesmas Kecamatan,KEC. SENEN,Baik,Non Perawatan,Jakarta Pusat,SENEN,Jl. Kramat VII,021-3146194,021-3145194,pkm.senen@plaza.com,
P3173030202,31730302,Puskesmas Kelurahan,KEL. KENARI,Baik,Non Perawatan,Jakarta Pusat,SENEN,Jl. Jambrut No. 22 RT. 07/02,021-31923932,,,
P3173030203,31730303,Puskesmas Kelurahan,KEL. KRAMAT,Baik,Non Perawatan,Jakarta Pusat,SENEN,Jl. Kramat Sentiong Ujung I/33,021-3919683,,,
P3173030204,31730304,Puskesmas Kelurahan,KEL. BUNGUR,Baik,Non Perawatan,Jakarta Pusat,SENEN,Kel. Bungur,021-4215473,021-4215473,,
P3173030205,31730305,Puskesmas Kelurahan,KEL. PASEBAN,Rusak Berat,Non Perawatan,Jakarta Pusat,SENEN,Jl. Kramat Sawah VII RT.008/07,021-3913927,,,
P3173030206,31730306,Puskesmas Kelurahan,KEL. KWITANG,Baik,Non Perawatan,Jakarta Pusat,SENEN,Jl. Kwitang IC,021-3146238,,,
P3173040201,31730801,Puskesmas Kecamatan,KEC. JOHAR BARU,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Tanah Tinggi XII RT. 004/09,021-4246359,021-4224041,,
P3173040202,31730807,Puskesmas Kelurahan,KEL. TANAH TINGGI,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Tanah Tinggi VII RT. 006/06,021-4229105,,,
P3173040203,31730802,Puskesmas Kelurahan,KEL. JOHAR BARU  I,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Mardani Raya No. 36 RT. 02/05,021-4256443,021-4256443,,
P3173040204,31730803,Puskesmas Kelurahan,KEL. JOHAR BARU  II,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Percetakan Negara II RT. 011/06,021-4229102,,,
P3173040205,31730804,Puskesmas Kelurahan,KEL. JOHAR BARU  III,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Kramat Raya Baru Gg IX RT. 013/01,021-4219544,,,
P3173040206,31730806,Puskesmas Kelurahan,KEL. GALUR,Baik,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Rawa Tengah IX RT.011/06,021-4256442,021-4256442,,
P3173040207,31730805,Puskesmas Kelurahan,KEL. KAMPUNG RAWA,Rusak Ringan,Non Perawatan,Jakarta Pusat,JOHAR BARU,Jl. Rawa Selatan I RT. 011/04,021-4256445,021-4256445,,
P3173050201,31730401,Puskesmas Kecamatan,KEC. CEMPAKA PUTIH,Rusak Berat,Perawatan,Jakarta Pusat,CEMPAKA PUTIH,Jl. Rawasari Selatan RT. 014/02,021-4219548,021-42801341,,
P3173050202,31730404,Puskesmas Kelurahan,KEL. RAWASARI,Baik,Non Perawatan,Jakarta Pusat,CEMPAKA PUTIH,Jl. Pramuka Sari I,021-4256428,021-4256428,,
P3173050203,31730402,Puskesmas Kelurahan,KEL. CEMPK.PUTIH BRT. I,Rusak Berat,Non Perawatan,Jakarta Pusat,CEMPAKA PUTIH,Jl. Percetakan Negara D 685,021-4243793,,,
P3173050204,31730403,Puskesmas Kelurahan,KEL. CEMPK.PUTIH BRT. II,Baik,Non Perawatan,Jakarta Pusat,CEMPAKA PUTIH,Jl. Cempaka Putih Barat II D/10A,021-4250858,021-4250858,,
P3173060201,31730501,Puskesmas Kecamatan,KEC. KEMAYORAN,Baik,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Serdang Baru I RT. 006/05,021-42801847,021-42801846,,
P3173060202,31730505,Puskesmas Kelurahan,KEL. KEBON KOSONG  I,Baik,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Pelita 3 RT. 008/08,021-4229104,,,
P3173060203,31730506,Puskesmas Kelurahan,KEL. KEBON KOSONG  II,Rusak Berat,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Kemayoran Gempol 28 RT. 06/06L,021-42802057,,,
P3173060204,31730503,Puskesmas Kelurahan,KEL. SERDANG,Baik,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Eka 5 RT. 09/03,021-4256429,,,
P3173060205,31730502,Puskesmas Kelurahan,KEL. UTAN PANJANG,Baik,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Bendungan Jago RT. 09/01,021-4250857,,,
P3173060206,31730508,Puskesmas Kelurahan,KEL. HARAPAN MULYA,Baik,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Harapan Mulya RT. 04/05,021-4220947,,,
P3173060207,31730507,Puskesmas Kelurahan,KEL. CEMPAKA BARU,Rusak Ringan,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Cempaka Baru Tengah I RT. 05/06,021-4220193,,,
P3173060208,31730504,Puskesmas Kelurahan,KEL. SUMUR BATU,Rusak Ringan,Non Perawatan,Jakarta Pusat,KEMAYORAN,Jl. Sumur Batu Raya RT. 07/01,021-4222510,,,
P3173070201,31730601,Puskesmas Kecamatan,KEC. SAWAH BESAR,Baik,Perawatan,Jakarta Pusat,SAWAH BESAR,Jl. Dwi Warna 6/7,021-6298090 - 6283864,021-6012240,pkm_swhbesar@telkom.net,
P3173070202,31730602,Puskesmas Kelurahan,KEL. MANGGA DUA SEL.,Baik,Non Perawatan,Jakarta Pusat,SAWAH BESAR,Jl. Mangga Dua Dalam 12 RT. 01/10,021-6256101,,,
P3173070203,31730603,Puskesmas Kelurahan,KEL. PASAR BARU,Baik,Non Perawatan,Jakarta Pusat,SAWAH BESAR,Jl. Krekot Bunda Raya No. 10,021-3440087,,,
P3173070204,31730604,Puskesmas Kelurahan,KEL. KARTINI,Baik,Non Perawatan,Jakarta Pusat,SAWAH BESAR,Jl. Kartini 8 Dalam,,,,
P3173080201,31730701,Puskesmas Kelurahan,KEC. GAMBIR,Baik,Non Perawatan,Jakarta Pusat,GAMBIR,Jl. Tanah Abang I/10,021-3810051,021-3844256,nurlela@cbn.net.id,
P3173080202,31730704,Puskesmas Kelurahan,KEL. DURI PULO,Rusak Ringan,Non Perawatan,Jakarta Pusat,GAMBIR,Jl. Petojo Selatan 2,021-,,,
P3173080203,31730703,Puskesmas Kelurahan,KEL. PETOJO UTARA,Baik,Non Perawatan,Jakarta Pusat,GAMBIR,Jl. Petojo Selatan II RT. 02/04,021-6338341,,,
P3173080204,31730702,Puskesmas Kelurahan,KEL. PETOJO SELATAN,Rusak Ringan,Non Perawatan,Jakarta Pusat,GAMBIR,Jl. Taman Tanah Abang III,021-3520246,,,
P3173080205,31730705,Puskesmas Kelurahan,KEL. KEBON KELAPA,Baik,Non Perawatan,Jakarta Pusat,GAMBIR,Jl. Batu Tulis 13 No.1,,,,
P3174010201,31740601,Puskesmas Kecamatan,KEC. KEMBANGAN,Baik,Perawatan,Jakarta Barat,KEMBANGAN,Jl. Komp. Taman Meruya Ilir Blok F/3,021-5870834,021-5870834,,
P3174010202,31740602,Puskesmas Kelurahan,KEL. KEMBANGAN UTARA,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Raya Kembangan Rt 005/02,021-68534570,,,
P3174010203,31740603,Puskesmas Kelurahan,KEL. MERUYA UTARA,,,Jakarta Barat,KEMBANGAN,Jl. Komp. Taman Meruya Ilir,021-5843136,,,
P3174010204,31740604,Puskesmas Kelurahan,KEL. MERUYA SELATAN I,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Raya Meruya Selatan,021-68534571,,,
P3174010205,31740609,Puskesmas Kelurahan,KEL. MERUYA SELATAN II,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. H. Saaba Komp Walikota Jak-Bar,021-5859081,,,
P3174010206,31740605,Puskesmas Kelurahan,KEL. JOGLO I,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Komp. Perumahan DKI Joglo,021-5840451,,,
P3174010207,31740606,Puskesmas Kelurahan,KEL. JOGLO II,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Raya Joglo,021-58902737,,,
P3174010208,31740607,Puskesmas Kelurahan,KEL. SRENGSENG,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Raya Srengseng,021-68534572,,,
P3174010209,31740608,Puskesmas Kelurahan,KEL. KEMBANGAN SELATAN,Baik,Non Perawatan,Jakarta Barat,KEMBANGAN,Jl. Manggis Rt.005/07 ,021-70642117,,,
P3174020201,31740101,Puskesmas Kecamatan,KEC. KEBON JERUK,Baik,Perawatan,Jakarta Barat,KEBON JERUK,Jl. Kebon Jeruk No. 2 Rt.09/01,021-5482367,021-5482367,,
P3174020202,31740102,Puskesmas Kelurahan,KEL. KEDOYA SELATAN,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Kedoya Raya Rt.004/03,021-58303182,021-58303182,,
P3174020203,31740103,Puskesmas Kelurahan,KEL. DURI KEPA,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Angsana Raya No. 1,021-56944087,021-56944087,,
P3174020204,31740104,Puskesmas Kelurahan,KEL. KEBON JERUK,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Karmel Raya Rt. 002/04,021-53679240,021-53679240,,
P3174020205,31740105,Puskesmas Kelurahan,KEL. SUKABUMI SELATAN,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Raya Sukabumi Sel Rt.008/03,021-5361034,021-5361034,,
P3174020206,31740106,Puskesmas Kelurahan,KEL. SUKABUMI UTARA,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Harum Raya Rt.008/07,021-5362526,021-5362526,,
P3174020207,31740107,Puskesmas Kelurahan,KEL. KELAPA DUA,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Sasak I Rt.001/002,021-5301349,021-5301349,,
P3174020208,31740108,Puskesmas Kelurahan,KEL. KEDOYA UTARA,Baik,Non Perawatan,Jakarta Barat,KEBON JERUK,Jl. Daan Mogot Pesing Rt.003/02,021-56943877,021-56943877,,
P3174030201,31740801,Puskesmas Kecamatan,KEC. PAL MERAH,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Palmerah 120,021-5483693,021-5482370,,
P3174030202,31740802,Puskesmas Kelurahan,KEL. JATI PULO I,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Waru No. 1 A,021-56940307,,,
P3174030203,31740803,Puskesmas Kelurahan,KEL. JATI PULO II,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Semangka Rt. 006/07,021-56940316,021-56940316,,
P3174030204,31740810,Puskesmas Kelurahan,KEL. KT. BAMBU SELATAN,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. KS Tubun I/27,021-56940315,,,
P3174030205,31740804,Puskesmas Kelurahan,KEL. KT. BAMBU UTARA,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Pondok Bandung,,,,
P3174030206,31740805,Puskesmas Kelurahan,KEL. SLIPI I,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. KS Tubun II,021-5323118,021-5323118,,
P3174030207,31740806,Puskesmas Kelurahan,KEL. SLIPI II,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. KS Tubun IV No. 140,021-5306265,021-5306265,,
P3174030208,31740807,Puskesmas Kelurahan,KEL. PAL MERAH I,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Kemanggisan Pulo Rt. 012/03,021-5347484,,,
P3174030209,31740808,Puskesmas Kelurahan,KEL. PAL MERAH II,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Rawa Belong No. 11 E,021-5347336,021-5347336,,
P3174030210,31740809,Puskesmas Kelurahan,KEL. KEMANGGISAN,Baik,Non Perawatan,Jakarta Barat,PALMERAH,Jl. Anggrek Garuda D/4,021-5306368,,,
P3174040201,31740301,Puskesmas Kecamatan,KEC. GROGOL PETAMBURAN,Rusak Ringan,Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Wijaya VIII Duta Mas,021-5648379,021-5633342,pkm.gropet@telkom.net,
P3174040202,31740302,Puskesmas Kelurahan,KEL. GROGOL  I,Rusak Ringan,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Dr. Nurdin I/35,021-56943089,,,
P3174040203,31740303,Puskesmas Kelurahan,KEL. GROGOL  II,Baik,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Rawa Bahagia I/32,021-56971251,,,
P3174040204,31740304,Puskesmas Kelurahan,KEL. GROGOL  III,Baik,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Dr. Nurdin Raya,,,,
P3174040205,31740305,Puskesmas Kelurahan,KEL. JELAMBAR I,Rusak Ringan,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Satria II Rt 004/04,021-56941881,,,
P3174040206,31740306,Puskesmas Kelurahan,KEL. JELAMBAR II,Baik,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Prof DR. Latumenten No.VI/2,021-56975053,,,
P3174040207,31740307,Puskesmas Kelurahan,KEL. JELAMBAR BARU,Baik,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Jelembar Ilir,,,,
P3174040208,31740308,Puskesmas Kelurahan,KEL. TJ. DUREN SELATAN,Rusak Ringan,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Raya Tanjung Duren 120,021-56941907,,,
P3174040209,31740309,Puskesmas Kelurahan,KEL. TJ. DUREN UTARA,Baik,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Tanjung Duren VII B,021-5641241,,,
P3174040210,31740310,Puskesmas Kelurahan,KEL. TOMANG,Rusak Ringan,Non Perawatan,Jakarta Barat,GROGOL PETAMBURAN,Jl. Tomang Pulo Macam V/40,021-5603976,,,
P3174050201,31740401,Puskesmas Kecamatan,KEC. TAMBORA,Baik,Perawatan,Jakarta Barat,TAMBORA,Jl. Krendang Utara No. 4,021-6313651,021-6318822,sparmanto@yahoo.com,
P3174050202,31740402,Puskesmas Kelurahan,KEL. PEKOJAN I,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Bandengan Utara No. 4,021-6906376,,,
P3174050203,31740403,Puskesmas Kelurahan,KEL. PEKOJAN II,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Kampung Janis No. 5,021-913719,,,
P3174050204,31740404,Puskesmas Kelurahan,KEL. ROA MALAKA,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Tiang Bendera Selatan,021-6929267,,,
P3174050205,31740405,Puskesmas Kelurahan,KEL. TAMBORA,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Tambora I No. 6,021-6319774,,,
P3174050206,31740406,Puskesmas Kelurahan,KEL  ANGKE,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Angke Indah Gg.VII,021-6347870,,,
P3174050207,31740407,Puskesmas Kelurahan,KEL. JEMBATAN BESI,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Duri Baru Rt.oo4/04,021-6301501,,,
P3174050208,31740408,Puskesmas Kelurahan,KEL. DURI UTARA,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Duri Utara II/23,021-6301972,,,
P3174050209,31740409,Puskesmas Kelurahan,KEL. KALI ANYAR,Baik,Non Perawatan,Jakarta Barat,TAMBORA,Jl. Persima II No. 10,021-6314812,,,
P3174060201,31740501,Puskesmas Kecamatan,KEC. TAMANSARI,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Madu No. 10,021-6297752,021-6297752,,
P3174060202,31740502,Puskesmas Kelurahan,KEL. MANGGA BESAR,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Blustru No. 16,021-6595342,021-6595342,,
P3174060203,31740503,Puskesmas Kelurahan,KEL. KEAGUNGAN,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Kebon Sayur I No.6,021-6313624,021-6313624,,
P3174060204,31740505,Puskesmas Kelurahan,KEL. KRUKUT,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Krutut Lio,021-6319817,,,
P3174060205,31740506,Puskesmas Kelurahan,KEL. MAPHAR,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Kebon Jeruk X,021-6592603,,,
P3174060206,31740507,Puskesmas Kelurahan,KEL. TAMANSARI,Baik,Non Perawatan,Jakarta Barat,TAMAN SARI,Jl. Mangga Besar XIII,021-6247319,,,
P3174060207,31740508,Puskesmas Kelurahan,KEL. PINANGSIA,,,Jakarta Barat,TAMAN SARI,Jl. Kemukus Rt.04/06 Block C 12,,,,Kontrak Tahun 2013
P3174070201,31740201,Puskesmas Kecamatan,KEC. CENGKARENG,Rusak Ringan,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Kamal Raya,021-54398366,021-69191756,,
P3174070202,31740210,Puskesmas Kelurahan,KEL. RAWA BUAYA,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Bojong Raya Rt 002/04,021-58300444,021-58300444,,
P3174070203,31740202,Puskesmas Kelurahan,KEL. CENGKARENG TIMUR,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Nurul Amal Rt 013/04,021-70601473,,,
P3174070204,31740203,Puskesmas Kelurahan,KEL  CENGKARENG BRT. I,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Flamboyan No. 75,021-55960714,021-55960714,,
P3174070205,31740204,Puskesmas Kelurahan,KEL. CENGKARENG BRT. II,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Cendrawasih VII,021-54371828,021-54371828,,
P3174070206,31740205,Puskesmas Kelurahan,KEL. KAPUK  I,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Raya Kapuk Rt003/11,021-70601471,021-70601471,pkm_kapuk1@telkom.net,
P3174070207,31740206,Puskesmas Kelurahan,KEL. KAPUK  II,Baik,Non Perawatan,Jakarta Barat,CENGKARENG,Jl. Raya Kapuk Rt004/05,021-70601472,,,
